laser detuning (-MHz), vertical position (mm)
0.06170886075949367, -0.007407407407407363
0.1613924050632911, -0.02716049382716046
0.26107594936708856, -0.06666666666666662
0.360759493670886, -0.13086419753086415
0.46518987341772144, -0.17037037037037034
0.564873417721519, -0.22962962962962957
0.6645569620253164, -0.2938271604938271
0.7642405063291138, -0.3333333333333333
0.8639240506329113, -0.37777777777777777
0.9636075949367089, -0.437037037037037
1.0632911392405062, -0.4765432098765432
1.1629746835443038, -0.5407407407407407
1.2626582278481011, -0.5802469135802469
1.3623417721518987, -0.6444444444444444
1.4620253164556962, -0.6839506172839507
1.5617088607594938, -0.7283950617283951
1.6613924050632913, -0.7876543209876543
